Type,Title,Legacy ID,Detail,
UTC,PatientResourceTest::get,ZBS01-24209,PatientResourceTest::get,<br > <span style=font-weight: bold;>PatientResourceTest::get<br>          </span> <table class=polarion-Document-table id=polarion_wiki macro name=table;params=width=100% style=width: 100%;margin-left: auto;margin-right: auto;border: 1px solid #CCCCCC;empty-cells: show;border-collapse: collapse;>            <tbody>              <tr>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 127px;height: 20px;border: 1px solid #CCCCCC;padding: 5px;>File<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 98px;height: 20px;border: 1px solid #CCCCCC;padding: 5px;>Class<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 80px;height: 20px;border: 1px solid #CCCCCC;padding: 5px;>Function<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 404px;height: 20px;border: 1px solid #CCCCCC;padding: 5px;>Unit Test(s)<br>                </th>              </tr>              <tr>                <td style=text-align: left;vertical-align: top;width: 127px;height: 0px;border: 1px solid #CCCCCC;padding: 5px;>PatientResource.java<br>                </td>                <td style=text-align: left;vertical-align: top;width: 98px;height: 0px;border: 1px solid #CCCCCC;padding: 5px;>PatientResource<br>                </td>                <td style=text-align: left;vertical-align: top;width: 80px;height: 0px;border: 1px solid #CCCCCC;padding: 5px;>get<br>                </td>                <td style=text-align: left;vertical-align: top;width: 404px;height: 0px;border: 1px solid #CCCCCC;padding: 5px;>PatientResourceTest::get<br>                </td>              </tr>            </tbody>          </table>
UTC,PatientResourceTest::testGET_RETURN_200OK,ZBS01-24285,PatientResourceTest::testGET_RETURN_200OK,<br > <span style=font-weight: bold;>PatientResourceTest::testGET_RETURN_200OK<br>          </span> <table class=polarion-Document-table id=polarion_wiki macro name=table;params=width=100% style=width: 100%;margin-left: auto;margin-right: auto;border: 1px solid #CCCCCC;empty-cells: show;border-collapse: collapse;>            <tbody>              <tr>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 127px;height: 20px;border: 1px solid #CCCCCC;padding: 5px;>File<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 98px;height: 20px;border: 1px solid #CCCCCC;padding: 5px;>Class<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 80px;height: 20px;border: 1px solid #CCCCCC;padding: 5px;>Function<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 404px;height: 20px;border: 1px solid #CCCCCC;padding: 5px;>Unit Test(s)<br>                </th>              </tr>              <tr>                <td style=text-align: left;vertical-align: top;width: 127px;height: 0px;border: 1px solid #CCCCCC;padding: 5px;>PatientResource.java<br>                </td>                <td style=text-align: left;vertical-align: top;width: 98px;height: 0px;border: 1px solid #CCCCCC;padding: 5px;>PatientResource<br>                </td>                <td style=text-align: left;vertical-align: top;width: 80px;height: 0px;border: 1px solid #CCCCCC;padding: 5px;>get<br>                </td>                <td style=text-align: left;vertical-align: top;width: 404px;height: 0px;border: 1px solid #CCCCCC;padding: 5px;>PatientResourceTest::testGET_RETURN_200OK<br>                </td>              </tr>            </tbody>          </table>
UTC,PatientResourceTest::testGET_RETURN_MISS_PARAMETER_ERROR,ZBS01-24284,PatientResourceTest::testGET_RETURN_MISS_PARAMETER_ERROR,<br > <span style=font-weight: bold;>PatientResourceTest::testGET_RETURN_MISS_PARAMETER_ERROR<br>          </span> <table class=polarion-Document-table id=polarion_wiki macro name=table;params=width=100% style=width: 100%;margin-left: auto;margin-right: auto;border: 1px solid #CCCCCC;empty-cells: show;border-collapse: collapse;>            <tbody>              <tr>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 127px;height: 20px;border: 1px solid #CCCCCC;padding: 5px;>File<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 98px;height: 20px;border: 1px solid #CCCCCC;padding: 5px;>Class<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 80px;height: 20px;border: 1px solid #CCCCCC;padding: 5px;>Function<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 404px;height: 20px;border: 1px solid #CCCCCC;padding: 5px;>Unit Test(s)<br>                </th>              </tr>              <tr>                <td style=text-align: left;vertical-align: top;width: 127px;height: 0px;border: 1px solid #CCCCCC;padding: 5px;>PatientResource.java<br>                </td>                <td style=text-align: left;vertical-align: top;width: 98px;height: 0px;border: 1px solid #CCCCCC;padding: 5px;>PatientResource<br>                </td>                <td style=text-align: left;vertical-align: top;width: 80px;height: 0px;border: 1px solid #CCCCCC;padding: 5px;>get<br>                </td>                <td style=text-align: left;vertical-align: top;width: 404px;height: 0px;border: 1px solid #CCCCCC;padding: 5px;>PatientResourceTest::testGET_RETURN_MISS_PARAMETER_ERROR<br>                </td>              </tr>            </tbody>          </table>
UTC,PatientResourceTest::add(),ZBS01-24203,PatientResourceTest::add(),<br >          <span style=font-weight: bold;>PatientResourceTest::add()<br>          </span> <table class=polarion-Document-table id=polarion_wiki macro name=table;params=width=100% style=width: 100%;margin-left: auto;margin-right: auto;border: 1px solid #CCCCCC;empty-cells: show;border-collapse: collapse;>            <tbody>              <tr>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 146.391px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>File<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 114.25px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>Class<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 107.703px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>Function<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 340.656px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>Unit Test(s)<br>                </th>              </tr>              <tr>                <td style=text-align: left;vertical-align: top;width: 146.391px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>PatientResource.java<br>                </td>                <td style=text-align: left;vertical-align: top;width: 114.25px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>PatientResource<br>                </td>                <td style=text-align: left;vertical-align: top;width: 107.703px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>add<br>                </td>                <td style=text-align: left;vertical-align: top;width: 340.656px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>PatientResourceTest::add()<br>                </td>              </tr>            </tbody>          </table>
UTC,PatientResourceTest::delete(),ZBS01-24202,PatientResourceTest::delete(),<br >          <span style=font-weight: bold;>PatientResourceTest::delete()<br>          </span> <table class=polarion-Document-table id=polarion_wiki macro name=table;params=width=100% style=width: 100%;margin-left: auto;margin-right: auto;border: 1px solid #CCCCCC;empty-cells: show;border-collapse: collapse;>            <tbody>              <tr>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 146.219px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>File<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 114.109px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>Class<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 107.359px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>Function<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 341.312px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>Unit Test(s)<br>                </th>              </tr>              <tr>                <td style=text-align: left;vertical-align: top;width: 146.219px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>PatientResource.java<br>                </td>                <td style=text-align: left;vertical-align: top;width: 114.109px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>PatientResource<br>                </td>                <td style=text-align: left;vertical-align: top;width: 107.359px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>delete<br>                </td>                <td style=text-align: left;vertical-align: top;width: 341.312px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>PatientResourceTest::delete()<br>                </td>              </tr>            </tbody>          </table>
UTC,PatientResourceTest::linkRecord(),ZBS01-24201,PatientResourceTest::linkRecord(),<br >          <span style=font-weight: bold;>PatientResourceTest::linkRecord()<br>          </span> <table class=polarion-Document-table id=polarion_wiki macro name=table;params=width=100% style=width: 100%;margin-left: auto;margin-right: auto;border: 1px solid #CCCCCC;empty-cells: show;border-collapse: collapse;>            <tbody>              <tr>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 145.703px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>File<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 113.719px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>Class<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 107.875px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>Function<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 341.703px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>Unit Test(s)<br>                </th>              </tr>              <tr>                <td style=text-align: left;vertical-align: top;width: 145.703px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>PatientResource.java<br>                </td>                <td style=text-align: left;vertical-align: top;width: 113.719px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>PatientResource<br>                </td>                <td style=text-align: left;vertical-align: top;width: 107.875px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>linkRecord<br>                </td>                <td style=text-align: left;vertical-align: top;width: 341.703px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>PatientResourceTest::linkRecord()<br>                </td>              </tr>            </tbody>          </table>
UTC,PatientResourceTest::update(),ZBS01-24199,PatientResourceTest::update(),<br >          <span style=font-weight: bold;>PatientResourceTest::update()<br>          </span> <table class=polarion-Document-table id=polarion_wiki macro name=table;params=width=100% style=width: 100%;margin-left: auto;margin-right: auto;border: 1px solid #CCCCCC;empty-cells: show;border-collapse: collapse;>            <tbody>              <tr>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 145.281px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>File<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 111.125px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>Class<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 101.969px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>Function<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 350.625px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>Unit Test(s)<br>                </th>              </tr>              <tr>                <td style=text-align: left;vertical-align: top;width: 145.281px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>PatientResource.java<br>                </td>                <td style=text-align: left;vertical-align: top;width: 111.125px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>PatientResource<br>                </td>                <td style=text-align: left;vertical-align: top;width: 101.969px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>update<br>                </td>                <td style=text-align: left;vertical-align: top;width: 350.625px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>PatientResourceTest::update()<br>                </td>              </tr>            </tbody>          </table>
UTC,PatientResourceTest::listPatientOrOrganization(),ZBS01-24208,PatientResourceTest::listPatientOrOrganization(),<br >          <span style=font-weight: bold;>PatientResourceTest::listPatientOrOrganization()<br>          </span> <table class=polarion-Document-table id=polarion_wiki macro name=table;params=width=100% style=width: 100%;margin-left: auto;margin-right: auto;border: 1px solid #CCCCCC;empty-cells: show;border-collapse: collapse;>            <tbody>              <tr>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 127.062px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>File<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 101.156px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>Class<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 152.844px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>Function<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 327.938px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>Unit Test(s)<br>                </th>              </tr>              <tr>                <td style=text-align: left;vertical-align: top;width: 127.062px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>PatientResource.java<br>                </td>                <td style=text-align: left;vertical-align: top;width: 101.156px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>PatientResource<br>                </td>                <td style=text-align: left;vertical-align: top;width: 152.844px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>listPatientOrOrganization<br>                </td>                <td style=text-align: left;vertical-align: top;width: 327.938px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>PatientResourceTest::listPatientOrOrganization()<br>                </td>              </tr>            </tbody>          </table>
UTC,PatientResourceTest::createPatientForRecord(),ZBS01-24207,PatientResourceTest::createPatientForRecord(),<br >          <span style=font-weight: bold;>PatientResourceTest::createPatientForRecord()<br>          </span> <table class=polarion-Document-table id=polarion_wiki macro name=table;params=width=100% style=width: 100%;margin-left: auto;margin-right: auto;border: 1px solid #CCCCCC;empty-cells: show;border-collapse: collapse;>            <tbody>              <tr>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 131.516px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>File<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 102.734px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>Class<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 148.203px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>Function<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 326.547px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>Unit Test(s)<br>                </th>              </tr>              <tr>                <td style=text-align: left;vertical-align: top;width: 131.516px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>PatientResource.java<br>                </td>                <td style=text-align: left;vertical-align: top;width: 102.734px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>PatientResource<br>                </td>                <td style=text-align: left;vertical-align: top;width: 148.203px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>createPatientForRecord<br>                </td>                <td style=text-align: left;vertical-align: top;width: 326.547px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>PatientResourceTest::createPatientForRecord()<br>                </td>              </tr>            </tbody>          </table>
UTC,ServiceOrgResourceTest::testGet_Success,ZBS01-24206,ServiceOrgResourceTest::testGet_Success,<br > <span style=font-weight: bold;>ServiceOrgResourceTest::testGet_Success<br>          </span> <table class=polarion-Document-table id=polarion_wiki macro name=table;params=width=100% style=width: 100%;margin-left: auto;margin-right: auto;border: 1px solid #CCCCCC;empty-cells: show;border-collapse: collapse;>            <tbody>              <tr>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 140px;height: 20px;border: 1px solid #CCCCCC;padding: 5px;>File<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 114px;height: 20px;border: 1px solid #CCCCCC;padding: 5px;>Class<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 55px;height: 20px;border: 1px solid #CCCCCC;padding: 5px;>Function<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 399px;height: 20px;border: 1px solid #CCCCCC;padding: 5px;>Unit Test(s)<br>                </th>              </tr>              <tr>                <td style=text-align: left;vertical-align: top;width: 140px;height: 0px;border: 1px solid #CCCCCC;padding: 5px;>ServiceOrgResource.java<br>                </td>                <td style=text-align: left;vertical-align: top;width: 114px;height: 0px;border: 1px solid #CCCCCC;padding: 5px;>ServiceOrgResource<br>                </td>                <td style=text-align: left;vertical-align: top;width: 55px;height: 0px;border: 1px solid #CCCCCC;padding: 5px;>get<br>                </td>                <td style=text-align: left;vertical-align: top;width: 399px;height: 0px;border: 1px solid #CCCCCC;padding: 5px;>ServiceOrgResourceTest::testGet_Success<br>                </td>              </tr>            </tbody>          </table>
UTC,ServiceOrgResourceTest::testGet_Success_With_List_Of_AssociateOrganizations,ZBS01-24288,ServiceOrgResourceTest::testGet_Success_With_List_Of_AssociateOrganizations,<br > <span style=font-weight: bold;>ServiceOrgResourceTest::testGet_Success_With_List_Of_AssociateOrganizations<br>          </span> <table class=polarion-Document-table id=polarion_wiki macro name=table;params=width=100% style=width: 100%;margin-left: auto;margin-right: auto;border: 1px solid #CCCCCC;empty-cells: show;border-collapse: collapse;>            <tbody>              <tr>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 140px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>File<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 114px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>Class<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 55px;height: 20px;border: 1px solid #CCCCCC;padding: 5px;>Function<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 448px;height: 20px;border: 1px solid #CCCCCC;padding: 5px;>Unit Test(s)<br>                </th>              </tr>              <tr>                <td style=text-align: left;vertical-align: top;width: 140px;height: 0px;border: 1px solid #CCCCCC;padding: 5px;>ServiceOrgResource.java<br>                </td>                <td style=text-align: left;vertical-align: top;width: 114px;height: 0px;border: 1px solid #CCCCCC;padding: 5px;>ServiceOrgResource<br>                </td>                <td style=text-align: left;vertical-align: top;width: 55px;height: 0px;border: 1px solid #CCCCCC;padding: 5px;>get<br>                </td>                <td style=text-align: left;vertical-align: top;width: 448px;height: 0px;border: 1px solid #CCCCCC;padding: 5px;>ServiceOrgResourceTest::testGet_Success_With_List_Of_AssociateOrganizations<br>                </td>              </tr>            </tbody>          </table>
